id,start,end,side,curve_radius,curve_length,chaogao,huanchang
A01,811.360,811.566,1,8000.0,206.49,30,60
A01,811.652,811.858,0,8000.0,206.03,30,60
A01,813.007,813.209,0,8000.0,201.60,30,60
A01,813.292,813.495,1,8000.0,203.00,30,60
A01,815.061,815.840,1,1000.0,779.08,110,140
A01,824.236,825.057,0,5000.0,821.14,75,200
A01,829.013,829.447,1,4200.0,433.65,60,160
A01,829.554,829.976,0,4000.0,421.92,60,160
A01,830.299,830.720,0,4000.0,420.35,60,160
A01,830.832,831.253,1,4000.0,420.17,60,160
A01,834.424,834.864,0,9000.0,440.24,40,140
A01,846.009,847.021,1,7000.0,1011.25,60,180
A01,848.978,849.646,0,5500.0,667.44,58,250
A01,856.558,857.247,1,5000.0,688.97,62,210
A01,857.549,857.839,1,20000.0,289.98,20,50
A01,858.361,858.639,0,20000.0,278.06,20,50
A01,861.636,861.804,1,40000.0,167.69,15,30
A01,861.921,862.080,0,40000.0,159.74,15,30
A01,865.746,867.515,0,2800.0,1768.88,105,200
A01,867.659,869.211,1,2800.0,1552.52,105,200
A01,871.991,872.174,0,35000.0,182.19,15,40
A01,872.324,872.519,1,35000.0,195.09,15,40
A01,878.700,878.925,0,12000.0,225.01,15,40
A01,879.069,879.287,1,12000.0,217.79,15,40
A01,886.891,887.052,0,40000.0,161.79,15,40
A01,887.136,887.297,1,32000.0,160.86,15,40
A01,895.558,896.067,1,3500.0,509.01,80,160
A01,901.061,901.435,0,4000.0,374.41,65,120
A01,904.945,905.930,1,3500.0,984.66,80,150
A01,906.061,906.556,0,3500.0,495.07,85,150
A01,908.159,908.419,0,12000.0,260.73,25,40
A01,908.563,908.814,1,12000.0,251.30,25,40
A01,910.358,911.951,0,3490.0,1592.41,80,140
A01,912.737,913.526,1,3470.0,788.96,75,200
A01,913.671,914.097,0,4100.0,426.31,60,110
A01,916.094,916.309,1,12000.0,215.69,25,40
A01,916.457,916.678,0,12000.0,220.53,25,40
A01,919.600,919.845,0,8000.0,244.74,40,60
A01,919.977,920.258,1,7000.0,281.49,45,70
A01,926.964,927.664,1,3530.0,700.06,75,160
A01,932.885,933.645,0,1600.0,760.70,120,160
A01,933.857,934.861,1,1600.0,1003.28,120,160
A01,934.980,935.342,0,3000.0,362.07,70,130
A01,936.770,937.414,0,3500.0,643.76,85,140
A01,942.872,943.449,1,3500.0,577.22,78,160
A01,944.040,944.870,0,3500.0,829.80,78,140
A01,951.722,952.390,1,3520.0,667.93,75,160
A01,954.198,954.987,0,3510.0,789.29,75,160
A01,956.890,957.495,0,953.0,605.25,120,150
A01,958.236,958.866,1,1200.0,630.06,80,110
A01,960.914,961.407,0,800.0,493.76,130,140
A01,962.203,962.726,1,800.0,523.29,130,120
A01,962.921,963.262,1,1000.0,341.28,105,140
A01,963.540,963.912,1,1000.0,371.72,100,90
A01,964.596,964.911,0,1000.0,315.33,100,130
A01,965.436,965.517,1,4000.0,80.81,15,0
A01,965.572,965.655,0,4000.0,83.16,15,0
A01,967.046,967.408,0,800.0,361.73,130,140
A01,967.511,968.370,1,800.0,859.22,140,130
A01,968.487,968.904,0,825.0,417.40,140,140
A01,969.435,970.146,0,800.0,710.30,140,140
A01,970.292,970.596,1,900.0,304.05,120,130
A01,972.002,972.274,1,3200.0,271.90,40,110
A01,973.052,973.411,1,2010.0,359.34,55,90
A01,976.194,976.840,0,1005.0,645.89,110,150
A01,977.547,978.075,0,800.0,527.66,130,160
A01,979.424,979.531,1,3000.0,107.06,15,0
A01,979.931,980.002,1,2500.0,71.70,15,0
A01,980.560,980.786,0,10000.0,226.02,5,0
A01,980.983,981.063,0,3500.0,79.79,15,0
A01,981.702,981.845,1,770.0,142.70,85,50
A01,983.038,983.273,1,2500.0,234.45,25,30
A01,984.024,984.253,1,2500.0,228.24,35,50
A01,984.337,984.817,1,580.0,480.33,115,110
A01,985.108,985.423,1,550.0,314.52,125,100
A01,985.867,986.261,0,700.0,393.40,110,90
A01,986.314,986.719,1,800.0,405.25,115,120
A01,988.055,988.266,1,1500.0,211.01,60,70
A01,988.451,988.885,0,800.0,434.16,100,120
A01,989.310,989.556,1,650.0,246.27,100,100
A01,989.608,989.921,1,770.0,313.06,100,80
A01,990.284,990.877,0,580.0,592.65,115,90
A01,991.063,991.357,1,700.0,293.57,95,90
A01,992.454,992.937,1,490.0,482.94,110,100
A01,993.139,993.720,0,500.0,581.67,115,120
A01,993.843,994.188,0,500.0,344.77,100,120
A01,994.268,994.486,1,700.0,217.94,70,90
A01,995.341,995.806,1,400.0,464.85,125,80
A01,995.951,996.557,0,500.0,605.27,110,80
A01,997.009,997.449,1,480.0,440.29,110,90
A01,997.643,997.961,0,760.0,317.80,80,90
A01,998.090,998.765,0,700.0,675.80,80,120
A01,999.238,999.678,1,400.0,439.61,130,80
A01,1000.461,1000.715,0,710.0,254.48,70,90
A01,1001.098,1001.185,0,3300.0,86.62,20,0
A01,1001.237,1001.321,1,3200.0,83.78,20,0
A01,1001.640,1002.003,1,800.0,362.53,95,70
A01,1002.051,1002.496,0,700.0,444.37,85,80
A01,1002.543,1003.050,1,800.0,507.13,95,120
A01,1003.405,1003.995,0,800.0,590.52,95,130
A01,1004.038,1004.469,1,800.0,430.26,90,100
A01,1004.559,1004.892,0,800.0,332.75,90,120
A01,1005.324,1005.623,0,800.0,299.05,90,130
A01,1005.712,1006.235,1,800.0,523.73,105,130
A01,1006.716,1006.884,0,800.0,168.29,80,70
A01,1007.654,1007.952,1,800.0,298.22,110,120
